Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785324697,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785324698,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785324699,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785324701,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785324702,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785324703,20,POST,/predict,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,8,0,4300,3711.4757250092225,1703.1627999385819,4943.257100065239,223.25
1785324703,20,,Aggregated,0.000000,0.000000,4300,4400,4700,4700,4900,4900,4900,4900,4900,4900,4900,8,0,4300,3711.4757250092225,1703.1627999385819,4943.257100065239,223.25
1785324704,20,POST,/predict,0.000000,0.000000,3600,4100,4200,4300,4500,4800,4800,4800,4800,4800,4800,22,0,3600,3319.430386367127,296.8363000545651,4943.257100065239,223.4090909090909
1785324704,20,,Aggregated,0.000000,0.000000,3900,4300,4300,4400,4700,4800,4900,4900,4900,4900,4900,22,0,3600,3319.430386367127,296.8363000545651,4943.257100065239,223.4090909090909
1785324705,20,GET,/health,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,2.9635000973939896,2.9635000973939896,2.9635000973939896,2.9635000973939896,135.0
1785324705,20,POST,/predict,0.000000,0.000000,560,2700,3600,3900,4300,4500,4800,4800,4800,4800,4800,34,0,2300,2255.0354500040958,129.13430004846305,4943.257100065239,223.41176470588235
1785324705,20,,Aggregated,0.000000,0.000000,2300,3600,4200,4300,4500,4800,4900,4900,4900,4900,4900,35,0,2300,2190.6905371496186,2.9635000973939896,4943.257100065239,220.88571428571427
1785324706,20,GET,/health,0.000000,0.000000,500,500,500,500,500,500,500,500,500,500,500,2,0,3,250.76430005719885,2.9635000973939896,498.5651000170037,135.0
1785324706,20,POST,/predict,1.333333,0.000000,430,560,2400,3600,4200,4500,4800,4800,4800,4800,4800,45,0,500,1791.2309466654228,129.13430004846305,4943.257100065239,223.37777777777777
1785324706,20,,Aggregated,1.333333,0.000000,500,2500,3600,4100,4400,4700,4900,4900,4900,4900,4900,47,0,500,1725.6791744693282,2.9635000973939896,4943.257100065239,219.61702127659575
1785324707,20,GET,/health,0.125000,0.000000,500,500,500,500,500,500,500,500,500,500,500,2,0,3,250.76430005719885,2.9635000973939896,498.5651000170037,135.0
