Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,60,0,1300,1386.6788533322203,172.16859990730882,4045.9925000322983,135.0,1.5777682559584083,0.0,1300,1500,1700,1700,2200,3400,3600,4000,4000,4000,4000
POST,/predict,270,0,790,928.6768214815917,106.1095999320969,4119.076099945232,224.0888888888889,7.099957151812838,0.0,790,940,1100,1200,1600,2700,3300,3700,4100,4100,4100
,Aggregated,330,0,830,1011.949918181706,106.1095999320969,4119.076099945232,207.8909090909091,8.677725407771245,0.0,830,1100,1200,1300,1700,2700,3600,3700,4100,4100,4100
