Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,61,0,11,357.3796311507887,2.111600013449788,6285.523400059901,135.0,1.5482077946867296,0.0,11,130,190,310,850,1200,4800,6300,6300,6300,6300
POST,/predict,372,0,240,551.058061288855,96.28679999150336,6861.572599969804,223.16935483870967,9.44152950202399,0.0,240,350,430,490,740,1400,6000,6300,6900,6900,6900
,Aggregated,433,0,220,523.7731092370719,2.111600013449788,6861.572599969804,210.74826789838338,10.98973729671072,0.0,220,320,410,490,760,1400,6000,6300,6900,6900,6900
