Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785324600,20,GET,/health,0.888889,0.000000,2100,2400,3400,3400,4000,4000,4000,4000,4000,4000,4000,9,0,2100,2350.7450555658174,824.784499942325,4045.9925000322983,135.0
1785324600,20,POST,/predict,4.444444,0.000000,980,1400,1800,2500,3100,3300,3700,4100,4100,4100,4100,64,0,1000,1534.9085078087228,269.83919995836914,4119.076099945232,224.34375
1785324600,20,,Aggregated,5.333333,0.000000,1100,1600,2100,2500,3200,3400,4000,4100,4100,4100,4100,73,0,1200,1635.4910958883645,269.83919995836914,4119.076099945232,213.32876712328766
1785324601,20,GET,/health,0.800000,0.000000,2100,2200,2400,2400,3400,4000,4000,4000,4000,4000,4000,13,0,2100,2184.4237461560765,824.784499942325,4045.9925000322983,135.0
1785324601,20,POST,/predict,5.000000,0.000000,980,1300,1700,2400,3000,3200,3700,4100,4100,4100,4100,69,0,1000,1493.9535797060723,269.83919995836914,4119.076099945232,224.31884057971016
1785324601,20,,Aggregated,5.800000,0.000000,1100,1600,1900,2400,3100,3400,4000,4100,4100,4100,4100,82,0,1200,1603.4183621920486,269.83919995836914,4119.076099945232,210.15853658536585
1785324602,20,GET,/health,0.900000,0.000000,1700,2100,2200,2400,3400,4000,4000,4000,4000,4000,4000,18,0,1700,1821.4364277793923,577.3715999675915,4045.9925000322983,135.0
1785324602,20,POST,/predict,5.600000,0.000000,860,1100,1300,1600,2500,3100,3700,4100,4100,4100,4100,79,0,950,1373.593989868731,125.3459999570623,4119.076099945232,224.40506329113924
1785324602,20,,Aggregated,6.500000,0.000000,920,1200,1600,1700,2400,3000,3700,4100,4100,4100,4100,97,0,1000,1456.698772161431,125.3459999570623,4119.076099945232,207.81443298969072
1785324603,20,GET,/health,0.900000,0.000000,1400,1700,2100,2100,2400,2400,2400,2400,2400,2400,2400,19,0,1700,1755.8475263159428,575.2472999738529,4045.9925000322983,135.0
1785324603,20,POST,/predict,6.400000,0.000000,820,980,1100,1300,1700,1900,3700,4100,4100,4100,4100,87,0,870,1289.8781287320621,125.3459999570623,4119.076099945232,224.45977011494253
1785324603,20,,Aggregated,7.300000,0.000000,850,1100,1300,1600,1800,2400,3700,4100,4100,4100,4100,106,0,940,1373.4009452801163,125.3459999570623,4119.076099945232,208.4245283018868
1785324604,20,GET,/health,1.700000,0.000000,1400,1400,1800,2100,2400,2400,2400,2400,2400,2400,2400,22,0,1400,1702.0188000063752,575.2472999738529,4045.9925000322983,135.0
1785324604,20,POST,/predict,7.500000,0.000000,790,870,1100,1200,1600,1700,1900,4100,4100,4100,4100,97,0,840,1226.8386618522254,125.3459999570623,4119.076099945232,224.39175257731958
1785324604,20,,Aggregated,9.200000,0.000000,820,1100,1300,1400,1700,2100,2400,4100,4100,4100,4100,119,0,880,1314.6870907546734,125.3459999570623,4119.076099945232,207.8655462184874
1785324605,20,GET,/health,1.700000,0.000000,1300,1400,1700,1800,2200,2400,2400,2400,2400,2400,2400,24,0,1400,1636.2956416705856,575.2472999738529,4045.9925000322983,135.0
1785324605,20,POST,/predict,7.500000,0.000000,770,840,980,1100,1300,1600,1700,1900,1900,1900,1900,102,0,830,1204.0325294091256,125.3459999570623,4119.076099945232,224.3921568627451
1785324605,20,,Aggregated,9.200000,0.000000,790,960,1100,1300,1600,1800,2200,2400,2400,2400,2400,126,0,880,1286.3683603160705,125.3459999570623,4119.076099945232,207.36507936507937
1785324606,20,GET,/health,1.900000,0.000000,1300,1400,1700,1800,2200,2400,2400,2400,2400,2400,2400,25,0,1400,1627.760308003053,575.2472999738529,4045.9925000322983,135.0
1785324606,20,POST,/predict,7.700000,0.000000,740,820,880,980,1100,1600,1600,1700,1700,1700,1700,111,0,820,1166.939597294733,125.3459999570623,4119.076099945232,224.32432432432432
1785324606,20,,Aggregated,9.600000,0.000000,770,880,1100,1100,1400,1700,2200,2400,2400,2400,2400,136,0,870,1251.6492867631741,125.3459999570623,4119.076099945232,207.90441176470588
1785324607,20,GET,/health,1.900000,0.000000,1300,1400,1400,1700,2200,2400,2400,2400,2400,2400,2400,25,0,1400,1627.760308003053,575.2472999738529,4045.9925000322983,135.0
1785324607,20,POST,/predict,7.700000,0.000000,770,850,980,1100,1300,1600,1600,1700,1700,1700,1700,117,0,830,1162.0630623900101,125.3459999570623,4119.076099945232,224.32478632478632
1785324607,20,,Aggregated,9.600000,0.000000,800,980,1100,1300,1600,1700,2200,2400,2400,2400,2400,142,0,870,1244.0520140824472,125.3459999570623,4119.076099945232,208.59859154929578
1785324608,20,GET,/health,2.000000,0.000000,1400,1400,1700,1700,2200,2400,2400,2400,2400,2400,2400,26,0,1400,1630.1588461591075,575.2472999738529,4045.9925000322983,135.0
1785324608,20,POST,/predict,8.000000,0.000000,750,850,990,1100,1300,1500,1600,1700,1700,1700,1700,127,0,830,1139.5838102353296,125.3459999570623,4119.076099945232,224.3464566929134
1785324608,20,,Aggregated,10.000000,0.000000,810,980,1100,1300,1500,1700,2200,2400,2400,2400,2400,153,0,880,1222.9495026145337,125.3459999570623,4119.076099945232,209.16339869281046
1785324609,20,GET,/health,1.900000,0.000000,1300,1400,1400,1700,2200,2400,2400,2400,2400,2400,2400,29,0,1400,1600.4463862105883,575.2472999738529,4045.9925000322983,135.0
